Question,Answer,Answer_start,Answer_end,Context
The author's purpose in writing the passage is to _.,advise us to be a good-natured man,0,33,"[""powerful aids, and himself without strength overcome the might of his foe ?A craven thing! knows nought, accords with none, gives nought away; To wrath of any foe he falls an easy preyIn the estimation of foes miserably weak is he, who is timid, ignorant, unsociable and niggardlyHis wrath still blazes, every secret told; each day This man's in every place to every foe an easy preyHe who neither refrains from anger nor keeps his secrets will at all times and in all places be easily conquered by allNo way of right he scans, no precepts bind, no crimes affright, No grace of good he owns; such man's his foes' delight pleasing (object) to his foes is he who reads not moral works, does nothing that is enjoined by them cares not for reproach and is not possessed of good qualities0Blind in his rage, his lustful passions rage and swell; If such a man mislikes you, like it wellHighly to be desired is the hatred of him whose anger is blind, and whose lust increases beyond measureUnseemly are his deeds, yet proffering aid, the man draws nigh:His hate- 'tis cheap at any price- be sure to buy!It is indeed necessary to obtain even by purchase the hatred of him who having begun (a work) does what is not conductive (to its accomplishment)No gracious gifts he owns, faults many cloud his fame; His foes rejoice, for none with kindred claimHe will become friendless who is without (any good) qualities and whose faults are many; (such a character) is a help to (his) foesThe joy of victory is never far removed from those Who've luck to meet with ignorant and timid foesThere will be no end of lofty delights to the victorious, if their foes are (both) ignorant and timid0The task of angry war with men unlearned in virtue's lore Who will not meet, glory shall meet him never moreThe light (of fame) will never be gained by him who gains not the trifling reputation of having fought an unlearned (foe)  Knowing the Quality of HateFor Hate, that ill-conditioned thing not e'en in jestLet any evil longing rule your breastThe evil of hatred is not of a nature to be desired by one even in sportAlthough you hate incur of those whose ploughs are bows, Make not the men whose ploughs are words your foes!Though you may incur the hatred of warriors whose ploughs are bows, incur not that of ministers whose ploughs are wordsThan men of mind diseased, a wretch more utterly forlorn, Is he who stands alone, object of many foeman's scornHe who being alone, incurs the hatred of many is more infatuated than even mad menThe world secure on his dexterity depends,0Whose worthy rule can change his foes to friendsThe world abides in the greatness of that good-natured man who behaves so as to turn hatred into friendshipWithout ally, who fights with twofold enemy o'ermatched, Must render one of these a friend attachedHe who is alone and helpless""]"
Which of the following is NOT true according to the passage?,The householder who is a firm support to the virtuous of the three orders will be called a true householder.,0,107,"[""the things that man should shunThat is virtue which each ought to do, and that is vice which each should shun        Domestic Virtue Domestic LifeThe men of household virtue, firm in way of good, sustain The other orders three that rule professed maintainHe will be called a (true) householder, who is a firm support to the virtuous of the three orders in their good pathTo anchorites, to indigent, to those who've passed away,The man for household virtue famed is needful held and stayHe will be said to flourish in domestic virtue who aids the forsaken, the poor, and the deadThe manes, God, guests kindred, self, in due degree, These five to cherish well is chiefest charityThe chief (duty of the householder) is to preserve the five-fold rule (of conduct) towards the manes, the Gods, his guests, his relations and himselfWho shares his meal with other, while all guilt he shuns, His virtuous line unbroken though the ages runsHis descendants shall never fail who, living in the domestic state, fears vice (in the acquisition of property) and shares his food (with others)If love and virtue in the household reign,This is of life the perfect grace and gainIf the married life possess love and virtue, these will be both its duty and rewardIf man in active household life a virtuous soul retain, What fruit from other modes of virtue can he gain?What will he who lives virtuously in the domestic state gain by going into the other, (ascetic) state ?In nature's way who spends his calm domestic days,'Mid all that strive for virtue's crown hath foremost placeAmong all those who labour (for future happiness) he is greatest who lives well in the household stateOthers it sets upon their way, itself from virtue ne'er declines; Than stern ascetics' pains such life domestic brighter shinesThe householder who, not swerving from virtue, helps the ascetic in his way, endures more than those who endure penanceThe life domestic rightly bears true virtue's name;That other too, if blameless found, due praise may claimThe marriage state is truly called virtue The other state is also good, if others do not reproach itWho shares domestic life, by household virtues graced, Shall, mid the Gods, in heaven who dwell, be placedHe who on earth has lived in the conjugal state as he should live, will be placed among the Gods who dwell in heavenThe Goodness of the Help to Domestic LifeAs doth the house beseem, she shows her wifely dignity;As doth her husband's wealth befit, she spends: help - meet is sheShe who has the excellence of home virtues, and can expend within the means of her husband, is a help in the domestic stateIf household excellence be wanting in the wife, Howe'er with splendour lived, all worthless is the lifeIf the wife be devoid of domestic excellence, whatever (other) greatness be possessed, the conjugal state, is nothingThere is no lack within the house, where wife in worth excels, There is no luck""]"
The author's purpose in writing the passage is to _.,advise people to choose a suitable place for their operations,0,60,"[""put forth your powerAt the time when one should use self-control, let him restrain himself like a heron; and, let him like it, strike, when there is a favourable opportunity   Knowing the PlaceBegin no work of war, depise no foe,Till place where you can wholly circumvent you knowLet not (a king) despise (an enemy), nor undertake any thing (against him), until he has obtained (a suitable) place for besieging himThough skill in war combine with courage tried on battle-field, The added gain of fort doth great advantage yieldEven to those who are men of power and expedients, an attack in connection with a fortification will yield many advantagesE'en weak ones mightily prevail, if place of strong defence, They find, protect themselves, and work their foes offenceEven the powerless will become powerful and conquer, if they select a proper field (of action), and guard themselves, while they make war on their enemiesThe foes who thought to triumph, find their thoughts were vain,If hosts advance, seize vantage ground, and thence the fight maintainIf they who draw near (to fight) choose a suitable place to approach (their enemy), the latter, will have to relinquish the thought which they once entertained, of conquering themThe crocodile prevails in its own flow of water wide, If this it leaves, 'tis slain by anything besideIn deep water, a crocodile will conquer (all other animals); but if it leave the water, other animals will conquer itThe lofty car, with mighty wheel, sails not o'er watery main, The boat that skims the sea, runs not on earth's hard plainWide chariots, with mighty wheels, will not run on the ocean; neither will ships that the traverse ocean, move on the earthSave their own fearless might they need no other aid, If in right place they fight, all due provision madeYou will need no other aid than fearlessness, if you thoroughly reflect (on what you are to do), and select (a suitable) place for your operationsIf lord of army vast the safe retreat assailOf him whose host is small, his mightiest efforts failThe power of one who has a large army will perish, if he goes into ground where only a small army can actThough fort be none, and store of wealth they lack, 'Tis hard a people's homesteads to attack!It is a hazardous thing to attack men in their own country, although they may neither have power nor a good fortress00The jackal slays, in miry paths of foot-betraying fen,The elephant of fearless eye and tusks transfixing armed menA fox can kill a fearless, warrior-faced elephant, if it go into mud in which its legs sink down        Selection and Confidence0How treats he virtue, wealth and pleasure? How, when life's at stake, Comports himself? This four-fold test of man will full assurance makeLet (a minister) be chosen, after he has been tried by means of these four things, viz,-his virtue, (love of) money, (love of) sexual pleasure, and tear of (losing) life0Of noble""]"
The author's purpose in writing the passage is to _.,advise the king to employ his servants in the right way,0,54,"['works (in which they may be employed)No specious fav\'rite should the king\'s commission bear, But he that knows, and work performs with patient care(A king\'s) work can only be accomplished by a man of wisdom and patient endurance; it is not of a nature to be given to one from mere personal attachmentLet king first ask, \'Who shall the deed perform?\' and \'What the deed?\' Of hour befitting both assured, let every work proceedLet (a king) act, after having considered the agent (whom he is to employ), the deed (he desires to do), and the time which is suitable to it\'This man, this work shall thus work out,\' let thoughtful king command; Then leave the matter wholly in his servant\'s handAfter having considered, ""this man can accomplish this, by these means"", let (the king) leave with him the discharge of that dutyAs each man\'s special aptitude is known,Bid each man make that special work his ownHaving considered what work a man is fit for, let (the king) employ him in that workFortune deserts the king who ill can bear, Informal friendly ways of men his tolls who shareProsperity will leave (the king) who doubts the friendship of the man who steadily labours in the discharge of his duties0Let king search out his servants\' deeds each day; When these do right, the world goes rightly on its wayLet a king daily examine the conduct of his servants; if they do not act crookedly, the world will not act crookedly         Cherishing one\'s KindredWhen wealth is fled, old kindness still to show,Is kindly grace that only kinsmen knowEven when (a man\'s) property is all gone, relatives will act towards him with their accustomed (kindness)The gift of kin\'s unfailing love bestowsMuch gain of good, like flower that fadeless blowsIf (a man\'s) relatives remain attached to him with unchanging love, it will be a source of ever-increasing wealthHis joy of life who mingles not with kinsmen gathered round, Is lake where streams pour in, with no encircling boundThe wealth of one who does not mingle freely with his relatives, will be like the filling of water in a spacious tank that has no banksThe profit gained by wealth\'s increase,Is living compassed round by relatives in peaceTo live surrounded by relatives, is the advantage to be derived from the acquisition of wealthWho knows the use of pleasant words, and liberal gifts can give, Connections, heaps of them, surrounding him shall liveHe will be surrounded by numerous relatives who manifests generosity and affabilityThan one who gifts bestows and wrath restrains, Through the wide world none larger following gainsNo one, in all the world, will have so many relatives (about him), as he who makes large gift, and does not give way to angerThe crows conceal not, call their friends to come, then eat; Increase of good such worthy ones shall meetThe crows do not conceal (their prey), but will call out for others (to share with them) while they']"
The author's purpose in writing the passage is to _.,extol the greatness of those who have abandoned the two-fold desires,0,67,"[""(our hopes) hunger will long distress the sea-girt spacious worldIf clouds their wealth of waters fail on earth to pour, The ploughers plough with oxen's sturdy team no moreIf the abundance of wealth imparting rain diminish, the labour of the plough must cease'Tis rain works all: it ruin spreads, then timely aid supplies; As, in the happy days before, it bids the ruined riseRain by its absence ruins men; and by its existence restores them to fortuneIf from the clouds no drops of rain are shed'Tis rare to see green herb lift up its headIf no drop falls from the clouds, not even the green blade of grass will be seenIf clouds restrain their gifts and grant no rain,The treasures fail in ocean's wide domainEven the wealth of the wide sea will be diminished, if the cloud that has drawn (its waters) up gives them not back again (in rain)If heaven grow dry, with feast and offering never more, Will men on earth the heavenly ones adoreIf the heaven dry up, neither yearly festivals, nor daily worship will be offered in this world, to the celestialsIf heaven its watery treasures ceases to dispense,Through the wide world cease gifts, and deeds of 'penitence'If rain fall not, penance and alms-deeds will not dwell within this spacious worldWhen water fails, functions of nature cease, you say;Thus when rain fails, no men can walk in 'duty's ordered way'If it be said that the duties of life cannot be discharged by any person without water, so without rain there cannot be the flowing of water The Greatness of AsceticsThe settled rule of every code requires, as highest good,Their greatness who, renouncing all, true to their rule have stoodThe end and aim of all treatise is to extol beyond all other excellence, the greatness of those who, while abiding in the rule of conduct peculiar to their state, have abandoned all desireAs counting those that from the earth have passed away, 'Tis vain attempt the might of holy men to sayTo describe the measure of the greatness of those who have forsaken the two-fold desires, is like counting the deadTheir greatness earth transcends, who, way of both worlds weighed, In this world take their stand, in virtue's robe arrayedThe greatness of those who have discovered the properties of both states of being, and renounced the world, shines forth on earth (beyond all others)He, who with firmness, curb the five restrains,Is seed for soil of yonder happy plainsHe who guides his five senses by the hook of wisdom will be a seed in the world of heavenTheir might who have destroyed 'the five', shall soothly tell Indra, the lord of those in heaven's wide realms that dwellIndra, the king of the inhabitants of the spacious heaven, is himself, a sufficient proof of the strength of him who has subdued his five sensesThings hard in the doing will great men do;Things hard in the doing the mean eschewThe great will do those things which is difficult to be""]"
The author's purpose in writing the passage is to _.,explain the importance of love,0,29,"['him meet, In councils of the wise to fill the highest seatThe benefit which a father should confer on his son is to give him precedence in the assembly of the learnedTheir children\'s wisdom greater than their own confessed, Through the wide world is sweet to every human breastThat their children should possess knowledge is more pleasing to all men of this great earth than to themselvesWhen mother hears him named \'fulfill\'d of wisdom\'s lore,\' Far greater joy she feels, than when her son she boreThe mother who hears her son called ""a wise man"" will rejoice more than she did at his birthTo sire, what best requital can by grateful child be done?To make men say, \'What merit gained the father such a son?\'(So to act) that it may be said ""by what great penance did his father beget him,"" is the benefit which a son should render to his father The Possession of LoveAnd is there bar that can even love restrain?The tiny tear shall make the lover\'s secret plainIs there any fastening that can shut in love ? Tears of the affectionate will publish the love that is withinThe loveless to themselves belong alone;The loving men are others\' to the very boneThose who are destitute of love appropriate all they have to themselves; but those who possess love consider even their bones to belong to othersOf precious soul with body\'s flesh and bone,The union yields one fruit, the life of love aloneThey say that the union of soul and body in man is the fruit of the union of love and virtue (in a former birth)From love fond yearning springs for union sweet of minds; And that the bond of rare excelling friendship bindsLove begets desire: and that (desire) begets the immeasureable excellence of friendshipSweetness on earth and rarest bliss above,These are the fruits of tranquil life of loveThey say that the felicity which those who, after enjoying the pleasure (of the conjugal state) in this world, obtain in heaven is the result of their domestic state imbued with loveThe unwise deem love virtue only can sustain,It also helps the man who evil would restrainThe ignorant say that love is an ally to virtue only, but it is also a help to get out of viceAs sun\'s fierce ray dries up the boneless things, So loveless beings virtue\'s power to nothing bringsVirtue will burn up the soul which is without love, even as the sun burns up the creature which is without bone, ie wormsThe loveless soul, the very joys of life may know,When flowers, in barren soil, on sapless trees, shall blowThe domestic state of that man whose mind is without love is like the flourishing of a withered tree upon the parched desertThough every outward part complete, the body\'s fitly framed; What good, when soul within, of love devoid, lies halt and maimed?Of what avail are all the external members (of the body) to those who are destitute of love, the internal memberBodies of loveless']"
The bestowal of love by the beloved on those who love them is like _.,the rain raining on those who live by it,0,39,"["" The Solitary AnguishThe bliss to be beloved by those they love who gains, Of love the stoneless, luscious fruit obtainsThe women who are beloved by those whom they love, have they have not got the stone-less fruit of sexual delight ?As heaven on living men showers blessings from above, Is tender grace by lovers shown to those they loveThe bestowal of love by the beloved on those who love them is like the rain raining (at the proper season) on those who live by itWho love and are beloved to them aloneBelongs the boast, 'We've made life's very joys""]"
The author's purpose in writing the passage is to _.,tell us that those who would spread the fame of their own goodness will not desire the shoulders of those who bestow their despicable favours on all who pay,0,155,"[""their (natural) sense will not covet the trffling delights of those whose favours are common (to all)From touch of those who worthless charms, with wanton arts, display, The men who would their own true good maintain will turn awayThose who would spread (the fame of) their own goodness will not desire the shoulders of those,who rejoice in their accomplishments and bestow their despicable favours (on all who pay)Who cherish alien thoughts while folding in their feigned embrace, These none approach save those devoid of virtue's graceThose who are destitute of a perfectly (reformed) mind will covet the shoulders of those""]"
The writer's attitude towards the return of his lover is _.,optimistic,0,9,"[""to meOn the return of him who is as dear as my eyes, am I displeased or am I to embrace (him); or am I to do both?O would my king would fight, o'ercome, devide the spoil;At home, to-night, the banquet spread should crown the toilLet the king fight and gain (victories); (but) let me be united to my wife and feast the eveningOne day will seem like seven to those who watch and yearn For that glad day when wanderers from afar returnTo those who suffer waiting for the day of return of their distant lovers one day is""]"
The best title for the passage is _.,The Power of Love,0,16,"[""of surpassing wrath are like the men who've passed away; Who wrath renounce, equals of all-renouncing sages theyThose, who give way to excessive anger, are no better than dead men; but those, who are freed from it, are equal to those who are freed (from death)  Not doing EvilThough ill to neighbour wrought should glorious pride of wealth secure, No ill to do is fixed decree of men in spirit pureIt is the determination of the spotless not to cause sorrow to others, although they could (by so causing) obtain the wealth which confers greatnessThough malice work its worst,""]"
The world regards as the abode of modesty him who _.,fear his own and other's guilt,272,302,"[""to seeIs not the modesty ornament of the noble ? Without it, their haughtiness would be a pain (to others)0As home of virtuous shame by all the world the men are known, Who feel ashamed for others, guilt as for their ownThe world regards as the abode of modesty him who fear his own and other's guilt0Unless the hedge of shame inviolate remain,For men of lofty soul the earth's vast realms no charms retainThe great make modesty their barrier (of defence) and not the wide world0The men of modest soul for shame would life an offering make, But ne'er abandon""]"
The author thinks that _.,the ascetics should be careful in their thoughts,0,47,"[""be borne, and their benefits enjoyed, by those who have practised them (in a former birth); it will be useless for those who have not done so, to attempt to practise them (now)Have other men forgotten 'penitence' who striveTo earn for penitents the things by which they live?It is to provide food etc, for the ascetics who have abandoned (the desire of earthly possessions) that other persons have forgotten (to practise) austerity ?Destruction to his foes, to friends increase of joyThe 'penitent' can cause, if this his thoughts employIf (the ascetic) desire the destruction of his enemies, or the aggrandizement""]"
" The householder who _, endures more than those who endure penance.",helps the ascetic in his way,105,133,"[""stern ascetics' pains such life domestic brighter shinesThe householder who, not swerving from virtue, helps the ascetic in his way, endures more than those who endure penanceThe life domestic rightly bears true virtue's name;That other too, if blameless found, due praise may claimThe marriage state is truly called virtue The other state is also good, if others do not reproach itWho shares domestic life, by household virtues graced, Shall, mid the Gods, in heaven who dwell, be placedHe who on earth has lived in the conjugal state as he should live, will be placed among the Gods who dwell in""]"
The king who possesses all the following qualities is _.," courageous, liberal, wisdom, and energy",0,39,"['WEALTH  Royalty        The Greatness of a KingAn army, people, wealth, a minister, friends, fort: six things-Who owns them all, a lion lives amid the kingsHe who possesses these six things, an army, a people, wealth, ministers, friends and a fortress, is a lion among kingsCourage, a liberal hand, wisdom, and energy: these four Are qualities a king adorn for evermoreNever to fail in these four things, fearlessness, liberality, wisdom, and energy, is the kingly characterA sleepless promptitude, knowledge, decision strong:These three for aye to rulers of the land belongThese three things, viz,']"
The wise will not esteem the resentful because _.,they will esteem the patient just as the gold,0,44,"[""retaliate; but to forget it will be still better than thatThe sorest poverty is bidding guest unfed depart;The mightiest might to bear with men of foolish heartTo neglect hospitality is poverty of poverty To bear with the ignorant is might of mightSeek'st thou honour never tarnished to retain;So must thou patience, guarding evermore, maintainIf you desire that greatness should never leave, you preserve in your conduct the exercise of patienceWho wreak their wrath as worthless are despised;Who patiently forbear as gold are prized(The wise) will not at all esteem the resentful They will esteem the patient just as the gold""]"
The writer suggests that _.,the wise should be born with qualities conducive to fame,0,55,"[""former arising from the death of the latter, are achievable only by the wiseIf man you walk the stage, appear adorned with glory's grace; Save glorious you can shine, 'twere better hide your faceIf you are born (in this world), be born with qualities conductive to fame From those who are destitute of them it will be better not to be bornIf you your days will spend devoid of goodly fame,When men despise, why blame them? You've yourself to blameWhy do those who cannot live with praise, grieve those who despise them, instead of grieving themselves for their own inability0Fame""]"
The author of the passage _.,is a man who is devoted to his wife,0,34,"[""good if neighbour's wife he covet notThough a man perform no virtuous deeds and commit (every) vice, it will be well if he desire not the womanhood of her who is within the limit (of the house) of another The Possession of Patience, ForbearanceAs earth bears up the men who delve into her breast, To bear with scornful men of virtues is the bestTo bear with those who revile us, just as the earth bears up those who dig it, is the first of virtues0Forgiving trespasses is good always;Forgetting them hath even higher praise;Bear with reproach even when you can""]"
The author's love would lose its power and languish _.,without rumour,0,13,"[""have not got is as if I had got it (already)The rumour rising makes my love to rise;My love would lose its power and languish otherwiseRumour increases the violence of my passion; without it it would grow weak and waste awayThe more man drinks, the more he ever drunk would be; The more my love's revealed, the sweeter 'tis to me!As drinking liquor is delightful (to one) whenever one is in mirth, so is lust delightful to me whenever it is the subject of rumourI saw him but one single day: rumour spreads soon As darkness, when the dragon seizes""]"
The writer thinks that _.," if a man neglects and fails to perform the things praised by the wise, he will have no happiness throughout the seven births",0,124,"[""man) observe and do these things which have been praised (by the wise); if he neglects and fails to perform them, for him there will be no (happiness) throughout the seven birthsThink on the men whom scornful mind hath brought to nought, When exultation overwhelms thy wildered thoughtLet (a king) think of those who have been ruined by neglect, when his mind is elated with joy0'Tis easy what thou hast in mind to gain,If what thou hast in mind thy mind retainIt is easy for (one) to obtain whatever he may think of, if he can again think of it""]"
The writer of the passage thinks that _.,gambling is a bad way to make a living,0,37,"[""drink        Gaming (Gambling)Seek not the gamester's play; though you should win, Your gain is as the baited hook the fish takes inThough able to win, let not one desire gambling; (for) even what is won is like a fish swallowing the iron in fish-hookIs there for gamblers, too, that gaining one a hundred lose, some way  That they may good obtain, and see a prosperous day?Is there indeed a means of livelihood that can bestow happiness on gamblers who gain one and lose a hundred ?If prince unceasing speak of nought but""]"
The author thinks that _.,anger is bad even when it cannot injure,0,38,"[""cannot injure, what does it matter whether he restrain it, or not ?0Where power is none to wreak thy wrath, wrath importent is ill; Where thou hast power thy will to work, 'tis greater, evil stillAnger is bad, even when it cannot injure; when it can injure; there is no greater evil0If any rouse thy wrath, the trespass straight forget; For wrath an endless train of evils will begetForget anger towards every one, as fountains of evil spring from it0Wrath robs the face of smiles, the heart of joy,What other foe to man works such annoy?Is there a greater enemy""]"
The best title for the passage is _.,Courtesy,224,232,"['ages may change0The mighty earth its burthen to sustain must cease, If perfect virtue of the perfect men decreaseIf there is a defect in the character of the perfect, (even) the great world cannot bear (its) burden        CourtesyWho easy access give to every man, they say,Of kindly courtesy will learn with ease the wayIf one is easy of access to all, it will be easy for one to obtain the virtue called goodness0Benevolence and high born dignity,These two are beaten paths of courtesyAffectionateness and birth in a good family, these two constitute what']"
The writer thinks that _.,a man's joy of life is surrounded by his relatives,0,49,"[""that fadeless blowsIf (a man's) relatives remain attached to him with unchanging love, it will be a source of ever-increasing wealthHis joy of life who mingles not with kinsmen gathered round, Is lake where streams pour in, with no encircling boundThe wealth of one who does not mingle freely with his relatives, will be like the filling of water in a spacious tank that has no banksThe profit gained by wealth's increase,Is living compassed round by relatives in peaceTo live surrounded by relatives, is the advantage to be derived from the acquisition of wealthWho knows the use of pleasant words,""]"
The world applauds the character of those who _.,benefit from their equity and charity,0,36,"[""is called a proper behaviour to allMen are not one because their members seem alike to outward view; Similitude of kindred quality makes likeness trueResemblance of bodies is no resemblance of souls; true resemblance is the resemblance of qualities that attractOf men of fruitful life, who kindly benefits dispense, The world unites to praise the 'noble excellence'The world applauds the character of those whose usefulness results from their equity and charityContempt is evil though in sport They who man's nature know, E'en in their wrath, a courteous mind will showReproach is painful to one even in sport; those (therefore) who""]"
The author thinks that _.,good words should be spoken in the assembly of the good,0,54,"[""that are growing (of themselves)In councils of the good, who speak good things with penetrating power, In councils of the mean, let them say nought, e'en in oblivious hourThose who are able to speak good things impressively in an assembly of the good should not even forgetfully speak them in that of the low0Ambrosia in the sewer spilt, is wordSpoken in presence of the alien herdTo utter (a good word) in the assembly of those who are of inferior rank is like dropping nectar on the ground        Not to dread the CouncilMen, pure""]"
The author thinks that _.,the guest is the guest himself,0,29,"[""and then himself supplies, O'er all his fields, unsown, shall plenteous harvests riseIs it necessary to sow the field of the man who, having feasted his guests, eats what may remain ?The guest arrived he tends, the coming guest expects to see; To those in heavenly homes that dwell a welcome guest is heHe who, having entertained the guests that have come, looks out for others who may yet come, will be a welcome guest to the inhabitants of heavenTo reckon up the fruit of kindly deeds were all in vain; Their worth is as the worth of guests you""]"
The words of the good are like a staff in a slippery place because _.,they are good for the man to learn,0,33,"[""is the food of the ear, are equal to the Gods, who enjoy the food of the sacrificesThough learning none hath he, yet let him hear alway:In weakness this shall prove a staff and stayAlthough a man be without learning, let him listen (to the teaching of the learned); that will be to him a staff in adversityLike staff in hand of him in slippery ground who straysAre words from mouth of those who walk in righteous waysThe words of the good are like a staff in a slippery placeLet each man good things learn, for e'en as heShall learn,""]"
The author thinks that _.,a king should trust no man without first considering his character,0,65,"[""his being up to folly's blind controlTo choose ignorant men, through partiality, is the height of folly0Who trusts an untried stranger, brings disgrace,Remediless, on all his raceSorrow that will not leave even his posterity will come upon him chooses a stranger whose character he has not known0Trust no man whom you have not fully tried,When tested, in his prudence proved confideLet (a king) choose no one without previous consideration; after he has made his choice, let him unhesitatingly select for each such duties as are appropriate0Trust where you have not tried, doubt of a friend to feel, Once trusted, wounds""]"
The writer's eyes were consumed with _.,grief,0,4,"['like my thoughts to the abode (of my absent lord), they would not swim in this flood of tears        Eyes consumed with GriefThey showed me him, and then my endless painI saw: why then should weeping eyes complain?As this incurable malady has been caused by my eyes which showed (him) to me, why should they now weep for (him)How glancing eyes, that rash unweeting looked that day, With sorrow measureless are wasting now away!The dyed eyes that (then) looked without foresight, why should they now endure sorrow, without feeling sharply (their own fault)The']"
The author thinks that _.,a person's life should be governed by great men's will,0,53,"[""the powers of those who work their mighty willNot to disregard the power of those who can carry out (their wishes) is more important than all the watchfulness of those who guard (themselves against evil)If men will lead their lives reckless of great men's will,Such life, through great men's powers, will bring perpetual illTo behave without respect for the great (rulers) will make them do (us) irremediable evilsWho ruin covet let them shut their ears, and do despite To those who, where they list to ruin have the mightIf a person desires ruin, let him not listen to the righteous""]"
The author's attitude towards the uncourteous speech of others is _.,admirable,0,8,"[""thou mightily prevailLet a man by patience overcome those who through pride commit excessesThey who transgressors' evil words endureWith patience, are as stern ascetics pureThose who bear with the uncourteous speech of the insolent are as pure as the ascetics0Though 'great' we deem the men that fast and suffer pain, Who others' bitter words endure, the foremost place obtainThose who endure abstinence from food are great, next to those who endure the uncourteous speech of others  Not EnvyingAs 'strict decorum's' laws, that all men bind,Let each regard unenvying grace of mindLet a man esteem that disposition which is free""]"
The author's purpose in writing the passage is to _.,call on people to observe 'decorum' rules,0,40,"[""they do, the misery that flows from the transgression from them'Tis source of dignity when 'true decorum' is preserved;Who break 'decorum's' rules endure e'en censures undeservedFrom propriety of conduct men obtain greatness; from impropriety comes insufferable disgrace'Decorum true' observed a seed of good will be;'Decorum's breach' will sorrow yield eternallyPropriety of conduct is the seed of virtue; impropriety will ever cause sorrowIt cannot be that they who 'strict decorum's' law fulfil, E'en in forgetful mood, should utter words of illThose who study propriety of conduct will not speak evil, even forgetfully0Who know not with the world in harmony to dwell,""]"
The author's purpose in writing the passage is to _.,show the difference between women's lust and men's,0,49,"['womanly device, men sayTo express their love-sickness by their eyes and resort to begging bespeaks more than ordinary female excellence  Desire for ReunionGladness at the thought, rejoicing at the sight,Not palm-tree wine, but love, yields such delightTo please by thought and cheer by sight is peculiar, not to liquor but lustWhen as palmyra tall, fulness of perfect love we gain, Distrust can find no place small as the millet grainIf women have a lust that exceeds even the measure of the palmyra fruit, they will not desire (to feign) dislike even as much as the milletAlthough his will his']"
The author thinks that _.,kindly speech is good for others,0,31,"[""to come and in this world impartSweet speech, free from harm to others, will give pleasure both in this world and in the nextWho sees the pleasure kindly speech affords,Why makes he use of harsh, repellant words?Why does he use harsh words, who sees the pleasure which sweet speech yields ?When pleasant words are easy, bitter words to use, Is, leaving sweet ripe fruit, the sour unripe to chooseTo say disagreeable things when agreeable are at hand is like eating unripe fruit when there is ripe The Knowledge of Benefits Conferred: GratitudeAssistance given by those who ne'er received our aid,""]"
What is the best title for the passage?,The Cloth that covers the firm bosom of this maiden,0,50,"[""in the looks of this maid ?0If cruel eye-brow's bow, Unbent, would veil those glances now;The shafts that wound this trembling heart Her eyes no more would dartHer eyes will cause (me) no trembling sorrow, if they are properly hidden by her cruel arched eye-brows0As veil o'er angry eyes Of raging elephant that lies,The silken cincture's folds invest This maiden's panting breastThe cloth that covers the firm bosom of this maiden is (like) that which covers the eyes of a rutting elephant0Ah! woe is me! my might, That awed my foemen in the fight, By lustre of that beaming brow""]"
The author thinks that _.,high estate should die in its usual state,0,40,"[""foeman's trainIt is better for a man to be said of him that he died in his usual state than that he eked out his life by following those who disgraced himWhen high estate has lost its pride of honour meet, Is life, that nurses this poor flesh, as nectar sweet?For the high-born to keep their body in life when their honour is gone will certainly not prove a remedy against deathLike the wild ox that, of its tuft bereft, will pine away,Are those who, of their honour shorn, will quit the light of dayThose who give up (their) life""]"
The writer feels _ to call the cruel man a cruel man.,pained,464,470,"[""absence of your consort, your shoulders having lost their former beauty and fulness, your bracelets of pure gold have become looseThese wasted arms, the bracelet with their wonted beauty gone, The cruelty declare of that most cruel oneThe (loosened) bracelets, and the shoulders from which the old beauty has faded, relate the cruelty of the pitiless oneI grieve, 'tis pain to me to hear him cruel chid,Because the armlet from my wasted arm has slidI am greatly pained to hear you call him a cruel man, just because your shoulders are reduced and your bracelets loosenedMy heart! say ought of""]"
The writer thinks that _.,a man who enjoys riches is a churlish man,0,40,"[""churlish heart,Who nought themselves enjoy, and nought to worthy men impartHe who enjoys not (his riches) nor relieves the wants of the worthy is a disease to his wealth00Like woman fair in lonelihood who aged grows,Is wealth of him on needy men who nought bestowsThe wealth of him who never bestows anything on the destitute is like a woman of beauty growing old without a husband00When he whom no man loves exults in great prosperity,'Tis as when fruits in midmost of the town some poisonous treeThe wealth of him who is disliked (by all) is like the fruit-bearing of the""]"
The writer thinks that _.,he has swam across the terrible flood of love,0,44,"[""in friendship's trustful hour,  What will they prove when angry tempests lower?He who can produce sorrow from friendship, what can he not bring forth out of enmity ?A happy love 's sea of joy; but mightier sorrows roll From unpropitious love athwart the troubled soulThe pleasure of lust is (as great as) the sea; but the pain of lust is far greaterI swim the cruel tide of love, and can no shore descry, In watches of the night, too, 'mid the waters, only I!I have swam across the terrible flood of lust, but have not seen its shore; even""]"
" The king without the guard of men who can rebuke him, will surely fall because _.",he lacks the guard of men who can rebuke him,0,43,"['work his fall, who faithful ministers Employs, that thunder out reproaches when he errsWho are great enough to destroy him who has servants that have power to rebuke him ?The king with none to censure him, bereft of safeguards all, Though none his ruin work, shall surely ruined fallThe king, who is without the guard of men who can rebuke him, will perish, even though there be no one to destroy himWho owns no principal, can have no gain of usury; Who lacks support of friends, knows no stabilityThere can be no gain to those who have no capital; and']"
